station_id,stationame,month_beginning,avg_weekday_rides,avg_saturday_rides,avg_sunday-holiday_rides,monthtotal
41080,47th-South Elevated,2/1/21,315.6,238.5,166,7930
40130,51st,2/1/21,281.4,212.3,142.8,7047
40510,Garfield-South Elevated,2/1/21,304.1,259,159.5,7756
41140,King Drive,2/1/21,166.3,131.3,100,4250
40720,East 63rd-Cottage Grove,2/1/21,307.4,221.8,147.3,7623
40940,Halsted/63rd,2/1/21,168.1,104,79.5,4095
40290,Ashland/63rd,2/1/21,346.6,223.5,188.3,8579
41290,Kimball,2/1/21,1163,896.3,651,29448
41180,Kedzie-Brown,2/1/21,561.2,470.8,304.3,14324
40870,Francisco,2/1/21,325.7,206.5,158.5,7973
41010,Rockwell,2/1/21,303.8,200.8,138,7430
41480,Western-Brown,2/1/21,882.1,638,457,22021
40090,Damen-Brown,2/1/21,492.5,352,224.5,12155
41500,Montrose-Brown,2/1/21,492.6,349.8,202.5,12061
41460,Irving Park-Brown,2/1/21,486.1,315.5,215.5,11845
41440,Addison-Brown,2/1/21,356.5,241.5,154,8711
41310,Paulina,2/1/21,537.1,449.8,250.5,13543
40360,Southport,2/1/21,517.2,491.8,299,13507
41210,Wellington,2/1/21,606.9,377.5,214.5,14506
40530,Diversey,2/1/21,963.6,720.8,417,23823
40660,Armitage,2/1/21,689.6,598.8,350.8,17589
40800,Sedgwick,2/1/21,669.5,501.8,313.5,16651
40710,Chicago/Franklin,2/1/21,1337.6,770.3,532.5,31963
40460,Merchandise Mart,2/1/21,796.8,412.8,241.8,18553
40930,Midway Airport,2/1/21,1760.3,1055,792.3,42595
40960,Pulaski-Orange,2/1/21,1141,692.3,474,27484
41150,Kedzie-Midway,2/1/21,979,638.8,418,23807
40310,Western-Orange,2/1/21,1007.6,634,440.5,24450
40120,35th/Archer,2/1/21,647,400,269,15615
41060,Ashland-Orange,2/1/21,522.4,311,240.8,12655
41130,Halsted-Orange,2/1/21,510.3,336.3,219,12427
40730,Washington/Wells,2/1/21,1043.6,321.3,217.3,23026
40040,Quincy/Wells,2/1/21,777.9,298.3,212.3,17600
40160,LaSalle/Van Buren,2/1/21,442.1,169,114.8,9976
40850,Library,2/1/21,696.6,444.3,315,16969
40680,Adams/Wabash,2/1/21,1036.9,604.3,381.8,24682
41700,Washington/Wabash,2/1/21,2193.9,1506.8,937.8,53656
40260,State/Lake,2/1/21,1949.1,1564,1118.5,49712
40380,Clark/Lake,2/1/21,2345.4,1270,946.5,55773
40900,Howard,3/1/21,1873.8,1487.5,1165.3,53709
41190,Jarvis,3/1/21,466.8,439,353.5,13907
40100,Morse,3/1/21,1240.7,1083.8,806.3,36096
41300,Loyola,3/1/21,1310,1471.8,966.3,39883
40760,Granville,3/1/21,1007.6,1073,775,30567
40880,Thorndale,3/1/21,731.5,669.5,494.5,21481
41380,Bryn Mawr,3/1/21,1133.7,991,722.8,32931
40340,Berwyn,3/1/21,814,750,576.5,24028
41200,Argyle,3/1/21,848.3,839.5,609,25306
40770,Lawrence,3/1/21,808.2,729.3,557.3,23735
40540,Wilson,3/1/21,2063,1821.3,1290.3,59895
40080,Sheridan,3/1/21,1024.9,971.5,656.5,30084
41420,Addison-North Main,3/1/21,1379.1,1836.3,1160.8,43707
41320,Belmont-North Main,3/1/21,2586.1,2824,2016.5,78842
41220,Fullerton,3/1/21,1993.3,2155,1480.3,60387
40650,North/Clybourn,3/1/21,1364.1,1402.3,1058,41215
40630,Clark/Division,3/1/21,1892,2041.8,1406.5,57309
41450,Chicago/State,3/1/21,3100.3,3223.5,2267.3,93271
40330,Grand/State,3/1/21,1908.1,2616.5,1836.5,61699
41660,Lake/State,3/1/21,3679.7,3674.3,2587.5,109680
41090,Monroe/State,3/1/21,1278.5,1051.8,747.8,36604
40560,Jackson/State,3/1/21,1171,924.8,673.3,33326
41490,Harrison,3/1/21,705.9,836.8,550.8,21786
41400,Roosevelt,3/1/21,3153.9,2936.3,2279,93400
41000,Cermak-Chinatown,3/1/21,1072.3,1542.8,1033.8,34969
40190,Sox-35th-Dan Ryan,3/1/21,897.3,713,518.8,25566
41230,47th-Dan Ryan,3/1/21,940.4,787.3,583,27110
41170,Garfield-Dan Ryan,3/1/21,1019.9,835.3,587.5,29148
40910,63rd-Dan Ryan,3/1/21,1014.3,825.8,643.3,29204
40990,69th,3/1/21,1649.3,1319,954,47025
40240,79th,3/1/21,2345,1822.5,1380,66746
41430,87th,3/1/21,1317,1056.8,795.5,37699
40450,95th/Dan Ryan,3/1/21,3375.6,2458,1850.3,94871
41050,Linden,3/1/21,197.3,116.5,78,5316
41250,Central-Evanston,3/1/21,270,132.3,108,7170
40400,Noyes,3/1/21,202.4,174.5,128.5,5868
40520,Foster,3/1/21,162.3,157.3,110.5,4803
40050,Davis,3/1/21,825.6,746.8,538.3,24128
40690,Dempster,3/1/21,203.6,209.8,155.5,6144
40270,Main,3/1/21,269.9,239.5,162,7813
40840,South Boulevard,3/1/21,190.7,160.3,115.3,5489
40140,Dempster-Skokie,3/1/21,374.1,272,217,10561
41680,Oakton-Skokie,3/1/21,224.2,132,101.8,6091
40890,O'Hare Airport,3/1/21,3038,2701.8,3049.3,92877
40820,Rosemont,3/1/21,1698,1294,932.8,47962
40230,Cumberland,3/1/21,835.1,560.5,445,23230
40750,Harlem-O'Hare,3/1/21,731.2,480.3,357.3,20167
41280,Jefferson Park,3/1/21,2031.1,1406.5,1103.3,56755
41330,Montrose-O'Hare,3/1/21,365.3,261.3,216.5,10312
40550,Irving Park-O'Hare,3/1/21,1145.4,881.5,677.5,32581
41240,Addison-O'Hare,3/1/21,622.6,442,328.3,17400
40060,Belmont-O'Hare,3/1/21,1433.8,1077.8,799,40485
41020,Logan Square,3/1/21,1462,1231.8,825.3,41855
40570,California/Milwaukee,3/1/21,997.8,877.8,608,28892
40670,Western/Milwaukee,3/1/21,998.9,881,621,28982
40590,Damen/Milwaukee,3/1/21,1158,1366,905.3,35718
40320,Division/Milwaukee,3/1/21,1200.6,1125.5,791.5,35282
41410,Chicago/Milwaukee,3/1/21,790.8,591.8,434.8,22295
40490,Grand/Milwaukee,3/1/21,612.3,614.8,460.3,18384
40370,Washington/Dearborn,3/1/21,2284.5,1971.3,1391.5,65995
40790,Monroe/Dearborn,3/1/21,933.4,508.3,374.8,25000
40070,Jackson/Dearborn,3/1/21,1089,798.3,551.8,30448
41340,LaSalle,3/1/21,541.3,431,334,15510
40430,Clinton-Forest Park,3/1/21,515.2,391.3,320.3,14696
40350,UIC-Halsted,3/1/21,718.1,706.5,503.5,21357
40470,Racine,3/1/21,382.8,320.3,241.8,11053
40810,Medical Center,3/1/21,882.2,410.3,325.3,23233
40220,Western-Forest Park,3/1/21,431,370.3,294,12571
40250,Kedzie-Homan-Forest Park,3/1/21,672.3,538.3,392.8,19188
40920,Pulaski-Forest Park,3/1/21,846.4,737.5,702.3,25227
